copy,likes
"바다 건너 황금의 땅, 꿈의 신대륙을 향한 모험이 시작된다!",190
"황금의 땅, 꿈의 대륙을 향한 모험이 시작된다!",919
"""가난뱅이 영애, 재클린의 인생 역전! 황금의 땅, 신대륙에서 펼쳐지는 모험과 사랑 이야기!""",734
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 몰락한 백작가의 영애에서 성공한 사업가로, 그녀의 파란만장한 인생 역전이 시작됩니다!",603
"가난뱅이 영애 재클린, 황금의 땅을 찾아 프레스턴 가로 떠나다!",202
"황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 '가난뱅이 영애' 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남!",207
"가난뱅이 영애 재클린, 황금의 땅을 찾아 프레스턴 가로 향하다!",717
"""가난뱅이 영애 재클린, 귀족가의 가정교사가 되다! 과연 그녀는 편견을 이겨내고 성공할 수 있을까?""",550
"황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 과연 그녀는 새로운 삶을 찾을 수 있을까?",591
"황금의 땅, 꿈의 대륙을 향한 모험이 시작된다!",523
"'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴 후작! 과연 재클린은 프레스턴 후작가의 가정교사로 무사히 살아남을 수 있을까?",553
"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!",651
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 로맨스와 스릴러가 결합된 이 웹소설을 지금 바로 만나보세요!",565
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",589
"""가난뱅이 영애, 재클린의 인생역전! 황금의 땅, 신대륙에서 펼쳐지는 모험과 사랑 이야기!""",425
"바다 건너 황금의 땅, 꿈의 신대륙을 찾아 나선 모험가들의 이야기! 그 속에서 펼쳐지는 사랑과 우정, 그리고 배신. 과연 재클린은 무사히 프레스턴 경의 저택에 가정교사로 들어갈 수 있을까?",567
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 새로운 삶을 찾을 수 있을까?",631
"황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?",581
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 몰락한 백작가의 영애에서 성공한 사업가로, 그녀의 인생 2회차가 시작된다!",879
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",311
"황금의 땅을 찾아 나선 서머셋 백작의 딸, 재클린! 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남! 과연 재클린은 새로운 삶을 찾을 수 있을 것인가?",551
"황금의 땅, 꿈의 대륙을 향한 모험! 재클린과 윈저의 운명적인 만남이 시작됩니다.",293
"황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 막대한 부를 손에 넣을 수 있을까?",107
"황금의 땅, 꿈의 대륙을 향한 모험이 시작된다!",734
"바다 건너 황금의 땅, 꿈의 신대륙을 찾아 나선 탐험가들의 이야기! 그 속에서 펼쳐지는 사랑과 우정, 그리고 배신과 복수! 과연 재클린은 무사히 프레스턴 경의 저택에 가정교사로 들어가 어머니를 모셔올 수 있을까?",963
"황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 '가난뱅이 영애' 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남!",153
"가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!",731
