C_ID,T_ID,Text,Completion
0,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""바다 건너 황금의 땅, 꿈의 신대륙을 향한 모험이 시작된다!"" (좋아요 190개)
2번: ""황금의 땅, 꿈의 대륙을 향한 모험이 시작된다!"" (좋아요 919개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",2번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
1,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: """"가난뱅이 영애, 재클린의 인생 역전! 황금의 땅, 신대륙에서 펼쳐지는 모험과 사랑 이야기!"""" (좋아요 734개)
2번: ""황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 몰락한 백작가의 영애에서 성공한 사업가로, 그녀의 파란만장한 인생 역전이 시작됩니다!"" (좋아요 603개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",1번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
2,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""가난뱅이 영애 재클린, 황금의 땅을 찾아 프레스턴 가로 떠나다!"" (좋아요 202개)
2번: ""황금의 땅을 찾아 떠난 아버지, 그리고 남겨진 '가난뱅이 영애' 재클린. 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남!"" (좋아요 207개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",2번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
3,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""가난뱅이 영애 재클린, 황금의 땅을 찾아 프레스턴 가로 향하다!"" (좋아요 717개)
2번: """"가난뱅이 영애 재클린, 귀족가의 가정교사가 되다! 과연 그녀는 편견을 이겨내고 성공할 수 있을까?"""" (좋아요 550개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",1번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
4,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""황금의 땅을 찾아 떠난 아버지를 잃은 '가난뱅이 영애' 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 과연 그녀는 새로운 삶을 찾을 수 있을까?"" (좋아요 591개)
2번: ""황금의 땅, 꿈의 대륙을 향한 모험이 시작된다!"" (좋아요 523개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",1번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
5,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""'꿈의 대륙'을 찾아 떠난 서머셋 백작의 딸, 재클린. 그녀의 앞에 나타난 '검은 함대의 악마', 윈저 프레스턴 후작! 과연 재클린은 프레스턴 후작가의 가정교사로 무사히 살아남을 수 있을까?"" (좋아요 553개)
2번: ""가난뱅이 영애 재클린, 귀족가의 가정교사가 되다!"" (좋아요 651개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",2번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
6,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 로맨스와 스릴러가 결합된 이 웹소설을 지금 바로 만나보세요!"" (좋아요 565개)
2번: ""가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!"" (좋아요 589개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",2번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
7,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: """"가난뱅이 영애, 재클린의 인생역전! 황금의 땅, 신대륙에서 펼쳐지는 모험과 사랑 이야기!"""" (좋아요 425개)
2번: ""바다 건너 황금의 땅, 꿈의 신대륙을 찾아 나선 모험가들의 이야기! 그 속에서 펼쳐지는 사랑과 우정, 그리고 배신. 과연 재클린은 무사히 프레스턴 경의 저택에 가정교사로 들어갈 수 있을까?"" (좋아요 567개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",2번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
8,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 과연 그녀는 새로운 삶을 찾을 수 있을까?"" (좋아요 631개)
2번: ""황금의 땅을 찾아 떠난 아버지를 잃은 재클린, 그녀의 앞에 나타난 윈저 프레스턴 후작! 이들의 운명은 어떻게 될 것인가?"" (좋아요 581개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",1번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
9,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""황금의 땅, 꿈의 대륙을 찾아 나선 재클린의 모험! 몰락한 백작가의 영애에서 성공한 사업가로, 그녀의 인생 2회차가 시작된다!"" (좋아요 879개)
2번: ""가난뱅이 영애 재클린, 황금의 땅을 찾아 떠나다!"" (좋아요 311개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",1번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
10,0,"다음은 같은 소설에 대한 두 가지 홍보 문구입니다.
1번: ""황금의 땅을 찾아 나선 서머셋 백작의 딸, 재클린! 그녀의 앞에 나타난 윈저 프레스턴 후작과의 운명적인 만남! 과연 재클린은 새로운 삶을 찾을 수 있을 것인가?"" (좋아요 551개)
2번: ""황금의 땅, 꿈의 대륙을 향한 모험! 재클린과 윈저의 운명적인 만남이 시작됩니다."" (좋아요 293개)
어떤 문구가 사용자에게 더 효과적인 홍보 효과를 보였을까요?",1번 문구가 더 효과적이었습니다. 이유: 모델 응답을 받을 수 없습니다.
